condition,seed,rate_ms,zeroed,ep_seed,win,draw,steps,n_messages,window_open_frac
A,2,250,0,5200218,1,0,165,33,0.9393939393939394
A,2,250,0,5200219,1,0,82,17,1.0
A,2,250,0,5200192,1,0,143,29,1.0
A,2,250,0,5200193,0,1,600,120,0.8666666666666667
A,2,250,0,5200194,1,0,154,31,0.7096774193548387
A,2,250,0,5200195,0,0,118,24,0.625
A,2,250,0,5200220,1,0,137,28,0.8571428571428571
A,2,250,0,5200221,1,0,85,17,0.8823529411764706
A,2,250,0,5200222,1,0,103,21,0.8571428571428571
A,2,250,0,5200223,1,0,198,40,0.725
A,2,250,0,5200228,1,0,64,13,0.8461538461538461
A,2,250,0,5200229,1,0,113,23,0.9565217391304348
A,2,250,0,5200230,1,0,108,22,0.8636363636363636
A,2,250,0,5200231,1,0,125,25,0.76
A,2,250,0,5200236,1,0,123,25,0.84
A,2,250,0,5200237,1,0,102,21,0.8571428571428571
A,2,250,0,5200238,1,0,130,26,0.8076923076923077
A,2,250,0,5200239,1,0,75,15,0.8666666666666667
A,2,250,0,5200240,1,0,113,23,0.9130434782608695
A,2,250,0,5200241,1,0,169,34,0.8235294117647058
A,2,250,0,5200242,1,0,145,29,1.0
A,2,250,0,5200243,1,0,64,13,0.8461538461538461
A,2,250,0,5200244,1,0,62,13,0.9230769230769231
A,2,250,0,5200245,1,0,71,15,0.8
A,2,250,0,5200246,1,0,152,31,0.9354838709677419
A,2,250,0,5200247,1,0,114,23,0.6956521739130435
A,2,250,0,5200232,1,0,123,25,0.92
A,2,250,0,5200233,1,0,114,23,0.9565217391304348
A,2,250,0,5200234,1,0,128,26,0.8846153846153846
A,2,250,0,5200235,1,0,179,36,0.9166666666666666
A,2,250,0,5200256,1,0,122,25,0.96
A,2,250,0,5200257,1,0,112,23,0.9130434782608695
A,2,250,0,5200258,1,0,98,20,0.9
A,2,250,0,5200259,1,0,64,13,1.0
A,2,250,0,5200248,1,0,287,58,0.7413793103448276
A,2,250,0,5200249,1,0,147,30,0.8666666666666667
A,2,250,0,5200250,1,0,67,14,0.8571428571428571
A,2,250,0,5200251,1,0,72,15,0.8666666666666667
A,2,250,0,5200252,1,0,103,21,1.0
A,2,250,0,5200253,1,0,114,23,1.0
A,2,250,0,5200254,1,0,64,13,0.9230769230769231
A,2,250,0,5200255,1,0,250,50,0.74
A,2,250,0,5200260,1,0,132,27,0.7037037037037037
A,2,250,0,5200261,1,0,117,24,0.9583333333333334
A,2,250,0,5200262,1,0,127,26,1.0
A,2,250,0,5200263,1,0,64,13,0.8461538461538461
A,2,250,0,5200224,1,0,145,29,0.7586206896551724
A,2,250,0,5200225,1,0,107,22,0.9545454545454546
A,2,250,0,5200226,1,0,123,25,0.92
A,2,250,0,5200227,1,0,481,97,0.845360824742268
A,2,250,0,5200264,1,0,99,20,0.85
A,2,250,0,5200265,1,0,111,23,1.0
A,2,250,0,5200266,1,0,124,25,0.8
A,2,250,0,5200267,1,0,65,13,0.7692307692307693
A,2,250,0,5200272,1,0,128,26,0.8846153846153846
A,2,250,0,5200273,1,0,117,24,0.9166666666666666
A,2,250,0,5200274,1,0,167,34,0.7941176470588235
A,2,250,0,5200275,1,0,66,14,1.0
A,2,250,0,5200280,1,0,86,18,0.7777777777777778
A,2,250,0,5200281,1,0,121,25,0.92
A,2,250,0,5200282,1,0,117,24,0.9166666666666666
A,2,250,0,5200283,1,0,68,14,0.8571428571428571
A,2,250,0,5200276,1,0,120,24,1.0
A,2,250,0,5200277,1,0,126,26,0.8461538461538461
A,2,250,0,5200278,1,0,132,27,0.8888888888888888
A,2,250,0,5200279,1,0,204,41,0.8780487804878049
A,2,250,0,5200292,1,0,86,18,0.9444444444444444
A,2,250,0,5200293,0,0,188,38,0.9210526315789473
